"Level","Item","Description","Qty","Packing DOKAR","Packing DOKNR","Label DOKAR","Label DOKNR","Draw ID","Generic Item","FQty","2BOM","SAP Material ID","SAP Template","Blue","Bblock","BBtype","Smartpart"
"4","HE53S27Z00802","OBTUR.PIQ.VANNE AVEC INTERFACE G3","1","","","","","340","","","","","","","","","HE53S27Z00802"
"2","","","1","","","","","","","","","","","","","","100201388"
"4","HE057-TC-003-P","","1","","","","","","","","","","","","","","HE057-TC-003-P_0001__GIS_RED_003_BHT_BAY_Transport Component 3_HE057-TC-003-P_NO_0_NOEMPTY_104000"
"3","","","1","","","","","","","","","","","","","","100201390"
"5","HE57S11Z501-D-01","PLAN CONE MOBILE EQUIPE","1","","","","","DRAW","","","","","","","","","HE57S11Z501-D-01"
"4","HE057-CR-EXP-1","","1","","","","","","","","","","","","","","HE057-CR-EXP-1_0001__GIS_RED_001_BHT_CR_CROIX ASSEMBLEE_HE057-CR-EXP-1_NO_BT_CROSS18"
"5","HE57P11Z50101","CONE T155-7 OUVERT","1","","","","","20","","","","","","","","","HE57P11Z50101"
"5","HE00S00Z00206","DR 13b g3","1","","","","","","","","","","","","","","HE00S00Z00206"
"5","HE57P11Z60501","ELECTRODE MOBILE AG","1","","","","","60","","","","","","","","","HE57P11Z60501"
"5","HE57S40Z004-D-01","PLAN CROIX COUDEE EQUIPEE","1","","","","","DRAW","","","","","","","","","HE57S40Z004-D-01"
"5","HE57P11Z60601","EMBASE ELECTRODE MOBILE AVEC AG","1","","","","","40","","","","","","","","","HE57P11Z60601"
"5","HE57S40Z50201","CONE EQ F JDB TRAVERSANT BARRE COUDEE","1","","","","","20","","","","","","","","","HE57S40Z50201"
"5","HE57P21Z60001","ELECTRODE CONCAVE DE CONE AG","1","","","","","90","","","","","","","","","HE57P21Z60001"
"5","HE57S90Z50101","INTERFACE INDICAT DE CONE FERME OUTDOOR","1","","","","","90","","","","","","","","","HE57S90Z50101"
"5","HE57P21Z50201","BAGUE DE GUIDAGE","1","","","","","130","","","","","","","","","HE57P21Z50201"
"5","HE57S90Z80301","INTERFACE FIXATION CONE","1","","","","","60","","","","","","","","","HE57S90Z80301"
"5","RANT417005009","WASHER D8 ISO7089 U6592 A304 #","1","","","","","140","","","","","","","","","RANT417005009"
"5","HE57S90Z80701","INTERFACE OBTURATION M8 BRIDE","2","","","","","130","","","","","","","","","HE57S90Z80701"
"5","RANT412134310","HEX. SOCKET BOLT M8*40 A2-70","1","","","","","150","","","","","","","","","RANT412134310"
"5","HE057-15517-61064","","1","","","","","","","","","","","","","","HE057-15517-61064_0001_10_GIS_004_BHT_CR_CUVE CROIX RAL9016 EP19 CEN_HE57P40Z40501-T_BLUE_0_CROSS18"
"5","HE57P11Z60701","BANDE DE GUIDAGE DES","3","","","","","170","","","","","","","","","HE57P11Z60701"
"6","HE57P40Z40561","CUVE CROIX COUDEE USINEE","1","","","","","","","","","","","","","","HE57P40Z40561"
"5","HE57P11Z61901","RESSORT MISE POTENTIEL","1","","","","","180","","","","","","","","","HE57P11Z61901"
"5","HE00P90Z80101","VIS CHC M5x12_ A2-70 PRE-ENCOLLE","2","","","","","180","","","","","","","","","HE00P90Z80101"
"5","HE57P21Z50001","PION INDEXAGE CONE","1","","","","","30","","","","","","","","","HE57P21Z50001"
"5","HE57P90Z80201","PLAQUE D'EXPEDITION","1","","","","","160","","","","","","","","","HE57P90Z80201"
"5","RANT421206388","GOUPILLE CYLINDRIQUE D8*24 INOX","2","","","","","50","","","","","","","","","RANT421206388"
"5","HE57S27Z40001","INTERFACE EXPEDITION SANS VALVE","1","","","","","150","","","","","","","","","HE57S27Z40001"
"5","RANT425950307","JOINT TORIQUE 70 SH.A 5,33x56,52","1","","","","","70","","","","","","","","","RANT425950307"
"5","HE57S27Z40002","INTERFACE EXPEDITION AVEC VALVE","2","","","","","140","","","","","","","","","HE57S27Z40002"
"5","HE00P90Z80003","JOINT TORIQUE 70 Sh.A Ø62,5xØ6.99 Butyl","1","","","","","80","","","","","","","","","HE00P90Z80003"
"5","RANT417005007","WASHER D5 ISO7089 U6592 A304","2","","","","","170","","","","","","","","","RANT417005007"
"5","RANT417015011","PLAIN WASHER SMALL D12 140 HV A2","4","","","","","110","","","","","","","","","RANT417015011"
"4","","","1","","","","","","","","","","","","","","100201392"
"5","RANT412134414","Zylschraube I6kt A2-70 M12x60","4","","","","","120","","","","","","","","","RANT412134414"
"5","","","1","","","","","","","","","","","","","","HE057-1053122861_0001_5000_GIS_003_BHT_DD_DENSISTAT_HE00S23Z100-T_NO_0_DD2"
"5","HE364229003","CONTACT RESSORT D107","4","","","","","160","","","","","","","","","HE364229003"
"6","HE00S23Z09403","DD TRAFAG X6 RADIAL 7,8b g3","1","","","","","","","","","","","","","","HE00S23Z09403"
"4","HE057-TC-002-P","","1","","","","","","","","","","","","","","HE057-TC-002-P_0001__GIS_RED_002_BHT_BAY_Transport Component 2_HE057-TC-002-P_NO_0_NOEMPTY_104000"
"6","HE00S23Z100-D-01","PLAN SURVEILLANCE SF6 ET G3","1","","","","","DRAW","","","","","","","","","HE00S23Z100-D-01"
"5","HE57S11Z500-D-01","PLAN CONE RADIAL EQUIPE","1","","","","","DRAW","","","","","","","","","HE57S11Z500-D-01"
"6","HE00S23Z100-P","PHANTOM SURVEILLANCE SF6 ET G3","1","","","","","","","","","","","","","","HE00S23Z100-P"
"5","HE57P11Z50101","CONE T155-7 OUVERT","1","","","","","20","","","","","","","","","HE57P11Z50101"
"6","HE433912030","Transmeter Keller M12 V4 16 bar","1","","","","","","","","","","","","","","HE433912030"
"5","HE57P21Z50001","PION INDEXAGE CONE","1","","","","","30","","","","","","","","","HE57P21Z50001"
"6","HE462043001","BOUCHON 1/2 PR DENSISTAT","1","","","","","130","","","","","","","","","HE462043001"
"5","HE57P11Z60101","ELECTRODE D275 RADIALE DS/T/B OA+AG","1","","","","","40","","","","","","","","","HE57P11Z60101"
"6","JE4733995001","Gas Connection g3 DILO DN20","1","","","","","110","","","","","","","","","JE4733995001"
"5","RANT425950307","JOINT TORIQUE 70 SH.A 5,33x56,52","1","","","","","70","","","","","","","","","RANT425950307"
"5","HE00P90Z80003","JOINT TORIQUE 70 Sh.A Ø62,5xØ6.99 Butyl","1","","","","","80","","","","","","","","","HE00P90Z80003"
"3","","","1","","","","","","","","","","","","","","100201394"
"5","HE57P21Z60001","ELECTRODE CONCAVE DE CONE AG","1","","","","","90","","","","","","","","","HE57P21Z60001"
"4","HE057-CR-EXP-2","","1","","","","","","","","","","","","","","HE057-CR-EXP-2_0001__GIS_RED_001_BHT_CR_CROIX ASSEMBLEE_HE057-CR-EXP-1_NO_BT_CROSS16"
"5","RANT417015011","PLAIN WASHER SMALL D12 140 HV A2","2","","","","","100","","","","","","","","","RANT417015011"
"5","HE00S00Z00206","DR 13b g3","1","","","","","","","","","","","","","","HE00S00Z00206"
"5","RANT412134414","Zylschraube I6kt A2-70 M12x60","2","","","","","110","","","","","","","","","RANT412134414"
"5","HE57S40Z004-D-01","PLAN CROIX COUDEE EQUIPEE","1","","","","","DRAW","","","","","","","","","HE57S40Z004-D-01"
"5","HE364229003","CONTACT RESSORT D107","4","","","","","120","","","","","","","","","HE364229003"
